animal_id,name,datetime,datetime2,found_location,intake_type,intake_condition,animal_type,sex_upon_intake,age_upon_intake,breed,color
A665551,*Aggie,2013-10-19T11:36:00.000,2013-10-19T11:36:00.000,7201 Levander Loop in Austin (TX),Stray,Normal,Cat,Intact Female,1 year,Domestic Shorthair Mix,Black/White
A652030,*Billy Bob,2013-10-19T11:41:00.000,2013-10-19T11:41:00.000,1801 Wells Branch Pkwy in Austin (TX),Stray,Normal,Dog,Neutered Male,2 years,Labrador Retriever Mix,Black/White
A665553,Bobbi Joe,2013-10-19T11:42:00.000,2013-10-19T11:42:00.000,Travis (TX),Owner Surrender,Normal,Cat,Intact Female,6 months,Domestic Shorthair Mix,Brown Tabby
A665552,Atticus,2013-10-19T11:46:00.000,2013-10-19T11:46:00.000,720 Airport #15 in Austin (TX),Stray,Injured,Cat,Intact Male,7 years,Domestic Shorthair Mix,Black/White
A665554,Duke,2013-10-19T11:52:00.000,2013-10-19T11:52:00.000,13207 N183 in Austin (TX),Stray,Normal,Dog,Intact Male,5 years,Great Dane,Black
A658733,Skyler,2013-10-19T11:53:00.000,2013-10-19T11:53:00.000,1912 Barge St in Austin (TX),Public Assist,Normal,Dog,Neutered Male,1 year,Catahoula Mix,Blue Merle/White
A653571,T-Che,2013-10-19T12:19:00.000,2013-10-19T12:19:00.000,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,3 years,Chihuahua Longhair Mix,Brown/White
A665559,Iggy,2013-10-19T12:36:00.000,2013-10-19T12:36:00.000,Austin (TX),Euthanasia Request,Aged,Dog,Intact Male,10 years,Lhasa Apso Mix,Gray
A665560,Bud,2013-10-19T12:42:00.000,2013-10-19T12:42:00.000,4800 Scarsdale in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Chihuahua Shorthair Mix,Red/White
A665561,,2013-10-19T12:42:00.000,2013-10-19T12:42:00.000,4800 Scarsdale in Austin (TX),Stray,Normal,Dog,Intact Female,5 years,Chihuahua Shorthair Mix,Black/Tan
A661966,*Suki,2013-10-19T12:44:00.000,2013-10-19T12:44:00.000,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,3 years,Chihuahua Shorthair Mix,White/Tan
A665562,,2013-10-19T12:45:00.000,2013-10-19T12:45:00.000,1806 W Rundberg Ln in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Chihuahua Shorthair Mix,Tan
A665564,Cinabun,2013-10-19T12:57:00.000,2013-10-19T12:57:00.000,7201 Levander Loop in Austin (TX),Stray,Normal,Dog,Intact Female,6 years,Chihuahua Shorthair Mix,Tan
A665565,Pickles,2013-10-19T12:57:00.000,2013-10-19T12:57:00.000,7201 Levander Loop in Austin (TX),Stray,Normal,Dog,Intact Female,3 years,Chihuahua Shorthair Mix,Red/White
A665566,,2013-10-19T12:57:00.000,2013-10-19T12:57:00.000,7201 Levander Loop in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Chihuahua Shorthair Mix,Tan
A665567,Baby,2013-10-19T12:57:00.000,2013-10-19T12:57:00.000,7201 Levander Loop in Austin (TX),Stray,Normal,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Chocolate/White
A665568,,2013-10-19T13:44:00.000,2013-10-19T13:44:00.000,2712  Zaragosa St in Austin (TX),Stray,Normal,Dog,Intact Male,2 months,Chihuahua Shorthair,Black
A665569,Tiki,2013-10-19T13:52:00.000,2013-10-19T13:52:00.000,Austin (TX),Owner Surrender,Sick,Dog,Intact Female,4 months,Chihuahua Shorthair Mix,Buff/Black
A665570,*Dee Dee,2013-10-19T13:52:00.000,2013-10-19T13:52:00.000,8868  Research Blvd in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Pit Bull Mix,Brown Brindle/White
A665571,,2013-10-19T13:54:00.000,2013-10-19T13:54:00.000,10118 Diamond Back in Travis (TX),Stray,Injured,Cat,Intact Male,4 months,Domestic Shorthair Mix,Black
A665572,,2013-10-19T14:09:00.000,2013-10-19T14:09:00.000,900 Broken Feather Trl in Pflugerville (TX),Stray,Normal,Dog,Intact Male,1 year,Great Pyrenees Mix,White
A665573,,2013-10-19T14:24:00.000,2013-10-19T14:24:00.000,8801 Silverarrow Ct in Austin (TX),Wildlife,Sick,Other,Unknown,2 years,Raccoon Mix,Black/White
A665577,,2013-10-19T14:31:00.000,2013-10-19T14:31:00.000,7500 Blessing Avenue in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Norwich Terrier Mix,Tan
A665578,*Cotton,2013-10-19T14:58:00.000,2013-10-19T14:58:00.000,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black
A665579,*Candy,2013-10-19T14:58:00.000,2013-10-19T14:58:00.000,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black
A665582,*Honeybear,2013-10-19T15:17:00.000,2013-10-19T15:17:00.000,5312 Northdale in Austin (TX),Stray,Normal,Dog,Intact Female,9 months,Border Collie/Doberman Pinsch,Black/Brown
A665580,,2013-10-19T15:20:00.000,2013-10-19T15:20:00.000,Great Hills And Jollyville in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black
A665581,Buttercup,2013-10-19T15:29:00.000,2013-10-19T15:29:00.000,14205 Willow Tank in Austin (TX),Stray,Injured,Dog,Intact Female,3 years,Chihuahua Shorthair Mix,Tan
A665583,,2013-10-19T15:39:00.000,2013-10-19T15:39:00.000,9805  Parkfield Dr in Austin (TX),Stray,Normal,Cat,Intact Female,2 years,Domestic Shorthair Mix,Calico
A665584,*Teddy,2013-10-19T15:39:00.000,2013-10-19T15:39:00.000,9805  Parkfield Dr in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair,White/Black
A665585,*Terry,2013-10-19T15:39:00.000,2013-10-19T15:39:00.000,9805  Parkfield Dr in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair,White/Orange
